SampleID,Category
1,3
2,0
3,1
4,4
5,3
6,0
7,3
8,0
9,3
10,3
11,2
12,3
13,4
14,2
15,1
16,3
17,4
18,4
19,4
20,4
21,0
22,0
23,1
24,3
25,3
26,1
27,4
28,3
29,3
30,1
31,1
32,1
33,0
34,1
35,3
36,1
37,3
38,4
39,1
40,3
41,2
42,3
43,3
44,2
45,0
46,0
47,0
48,3
49,3
50,0
51,3
52,4
53,0
54,1
55,1
56,1
57,0
58,3
59,1
60,2
61,0
62,0
63,3
64,0
65,0
66,2
67,4
68,4
69,4
70,3
71,3
72,2
73,1
74,2
75,4
76,3
77,3
78,1
79,4
80,0
81,4
82,0
83,3
84,1
85,3
86,2
87,0
88,2
89,0
90,1
91,4
92,4
93,0
94,3
95,1
96,4
97,1
98,3
99,4
100,1
101,1
102,1
103,4
104,1
105,2
106,4
107,4
108,0
109,1
110,0
111,3
112,3
113,3
114,2
115,4
116,3
117,2
118,3
119,3
120,4
121,3
122,4
123,4
124,0
125,1
126,0
127,2
128,4
129,1
130,1
131,3
132,3
133,3
134,0
135,2
136,3
137,3
138,4
139,4
140,4
141,1
142,3
143,0
144,3
145,4
146,3
147,0
148,2
149,3
150,0
151,4
152,3
153,2
154,0
155,3
156,2
157,0
158,3
159,0
160,0
161,0
162,1
163,0
164,3
165,0
166,1
167,3
168,1
169,3
170,0
171,4
172,2
173,0
174,3
175,2
176,3
177,0
178,2
179,4
180,2
181,0
182,4
183,0
184,4
185,1
186,2
187,2
188,4
189,0
190,4
191,0
192,1
193,1
194,1
195,1
196,3
197,2
198,4
199,3
200,0
201,3
202,0
203,3
204,4
205,3
206,1
207,3
208,4
209,1
210,2
211,0
212,1
213,2
214,4
215,3
216,2
217,0
218,1
219,3
220,2
221,1
222,0
223,4
224,0
225,4
226,2
227,1
228,0
229,3
230,4
231,3
232,0
233,1
234,4
235,4
236,1
237,2
238,4
239,3
240,4
241,4
242,4
243,1
244,3
245,3
246,2
247,0
248,0
249,4
250,1
251,1
252,3
253,4
254,3
255,1
256,3
257,4
258,4
259,0
260,4
261,4
262,4
263,4
264,2
265,1
266,4
267,4
268,1
269,4
270,3
271,3
272,4
273,1
274,1
275,4
276,1
277,3
278,4
279,3
280,1
281,2
282,3
283,3
284,2
285,3
286,3
287,2
288,3
289,3
290,1
291,1
292,3
293,2
294,4
295,0
296,4
297,1
298,0
299,0
300,1
301,3
302,3
303,4
304,0
305,0
306,0
307,3
308,4
309,2
310,3
311,0
312,1
313,2
314,3
315,4
316,2
317,0
318,0
319,3
320,2
321,1
322,2
323,2
324,2
325,3
326,4
327,3
328,1
329,1
330,3
331,1
332,4
333,1
334,1
335,1
336,3
337,0
338,0
339,1
340,4
341,3
342,3
343,4
344,4
345,1
346,3
347,3
348,1
349,0
350,4
351,1
352,3
353,2
354,0
355,2
356,3
357,1
358,4
359,3
360,2
361,4
362,2
363,3
364,4
365,3
366,2
367,3
368,4
369,2
370,1
371,3
372,4
373,4
374,4
375,1
376,2
377,3
378,1
379,0
380,2
381,2
382,3
383,0
384,1
385,2
386,1
387,2
388,3
389,1
390,4
391,4
392,3
393,0
394,3
395,2
396,3
397,3
398,2
399,2
400,0
401,2
402,4
403,2
404,4
405,0
406,3
407,1
408,2
409,1
410,3
411,2
412,0
413,1
414,3
415,3
416,2
417,3
418,4
419,4
420,1
421,2
422,2
423,0
424,4
425,4
426,4
427,0
428,0
429,1
430,1
431,3
432,3
433,2
434,1
435,4
436,1
437,2
438,3
439,4
440,3
441,4
442,3
443,4
444,2
445,1
446,4
447,4
448,4
449,2
450,4
451,0
452,3
453,4
454,0
455,1
456,4
457,2
458,2
459,0
460,3
461,1
462,1
463,0
464,4
465,4
466,2
467,0
468,1
469,4
470,2
471,0
472,4
473,2
474,4
475,2
476,4
477,4
478,0
479,3
480,4
481,4
482,3
483,0
484,4
485,0
486,3
487,3
488,2
489,2
490,4
491,0
492,3
493,2
494,2
495,4
496,2
497,3
498,1
499,1
500,0
501,1
502,4
503,1
504,1
505,4
506,1
507,2
508,3
509,3
510,1
511,2
512,3
513,3
514,0
515,3
516,1
517,0
518,4
519,3
520,3
521,1
522,0
523,1
524,1
525,3
526,4
527,2
528,0
529,4
530,1
531,1
532,0
533,2
534,2
535,1
536,2
537,3
538,0
539,4
540,1
541,2
542,4
543,2
544,0
545,2
546,3
547,0
548,3
549,2
550,2
551,4
552,0
553,2
554,1
555,3
556,3
557,4
558,1
559,0
560,4
561,3
562,0
563,4
564,3
565,3
566,1
567,3
568,3
569,1
570,0
571,0
572,2
573,2
574,0
575,2
576,3
577,4
578,3
579,3
580,4
581,1
582,0
583,1
584,3
585,2
586,2
587,0
588,1
589,1
590,1
591,0
592,1
593,4
594,2
595,3
596,3
597,3
598,0
599,2
600,2
601,2
602,1
603,0
604,4
605,2
606,0
607,1
608,1
609,4
610,1
611,4
612,4
613,3
614,4
615,2
616,0
617,1
618,2
619,2
620,0
621,4
622,4
623,4
624,4
625,1
626,0
627,3
628,1
629,0
630,4
631,4
632,0
633,1
634,1
635,0
636,0
637,1
638,3
639,2
640,3
641,3
642,4
643,2
644,1
645,1
646,3
647,0
648,1
649,1
650,0
651,4
652,2
653,3
654,0
655,2
656,4
657,2
658,4
659,3
660,0
661,0
662,4
663,1
664,0
665,2
666,2
667,0
668,3
669,2
670,2
671,2
672,0
673,4
674,2
675,4
676,4
677,3
678,2
679,1
680,2
681,3
682,2
683,1
684,2
685,2
686,0
687,0
688,2
689,4
690,2
691,3
692,3
693,0
694,4
695,3
696,2
697,3
698,3
699,4
700,4
701,4
702,2
703,4
704,2
705,0
706,0
707,4
708,3
709,2
710,1
711,3
712,4
713,2
714,0
715,1
716,0
717,0
718,4
719,3
720,3
721,0
722,3
723,1
724,1
725,3
726,1
727,4
728,1
729,2
730,3
731,4
732,0
733,1
734,0
735,3
736,0
737,4
738,2
739,4
740,4
741,4
742,1
743,2
744,3
745,4
746,1
747,3
748,2
749,0
750,0
751,0
752,1
753,3
754,2
755,0
756,1
757,1
758,0
759,4
760,1
761,3
762,3
763,0
764,0
765,0
766,4
767,4
768,1
769,4
770,0
771,3
772,4
773,4
774,0
775,2
776,0
777,2
778,1
779,3
780,0
781,0
782,1
783,0
784,3
785,3
786,1
787,3
788,3
789,4
790,2
791,0
792,3
793,3
794,2
795,4
796,2
797,4
798,0
799,4
800,4
801,1
802,4
803,0
804,4
805,0
806,0
807,4
808,3
809,1
810,3
811,1
812,3
813,1
814,2
815,3
816,2
817,1
818,3
819,3
820,2
821,4
822,1
823,1
824,2
825,4
826,3
827,3
828,3
829,0
830,1
831,0
832,2
833,1
834,4
835,3
836,3
837,4
838,1
839,1
840,0
841,4
842,4
843,0
844,2
845,1
846,2
847,4
848,4
849,1
850,1
851,4
852,1
853,3
854,0
855,3
856,3
857,3
858,0
859,0
860,2
861,0
862,2
863,0
864,1
865,4
866,0
867,1
868,2
869,1
870,4
871,4
872,0
873,3
874,0
875,3
876,0
877,3
878,4
879,3
880,1
881,1
882,0
883,4
884,4
885,4
886,0
887,3
888,2
889,0
890,1
891,2
892,2
893,2
894,4
895,3
896,2
897,4
898,4
899,1
900,4
901,3
902,1
903,2
904,2
905,2
906,3
907,1
908,4
909,1
910,3
911,0
912,4
913,4
914,1
915,4
916,1
917,4
918,4
919,1
920,3
921,1
922,0
923,1
924,4
925,4
926,2
927,4
928,4
929,4
930,1
931,3
932,1
933,4
934,1
935,4
936,4
937,3
938,0
939,3
940,2
941,3
942,1
943,2
944,4
945,0
946,0
947,1
948,3
949,0
950,2
951,4
952,1
953,2
954,2
955,2
956,1
957,4
958,0
959,1
960,1
961,1
962,1
963,0
964,4
965,3
966,4
967,0
968,0
969,1
970,3
971,3
972,4
973,0
974,4
975,2
976,1
977,1
978,3
979,4
980,1
981,2
982,4
983,1
984,3
985,1
986,0
987,1
988,0
989,0
990,0
991,2
992,2
993,4
994,4
995,1
996,3
997,0
998,1
999,1
1000,3
1001,1
1002,1
1003,0
1004,1
1005,3
1006,2
1007,1
1008,3
1009,0
1010,0
1011,0
1012,1
1013,0
1014,3
1015,4
1016,3
1017,4
1018,2
1019,1
1020,2
1021,0
1022,3
1023,0
1024,3
1025,3
1026,0
1027,0
1028,0
1029,3
1030,0
1031,2
1032,4
1033,0
1034,4
1035,1
1036,0
1037,2
1038,4
1039,4
1040,0
1041,0
1042,0
1043,3
1044,2
1045,3
1046,1
1047,1
1048,1
1049,0
1050,0
1051,4
1052,4
1053,0
1054,3
1055,2
1056,0
1057,3
1058,1
1059,2
1060,4
1061,3
1062,4
1063,3
1064,4
1065,1
1066,4
1067,2
1068,0
1069,1
1070,2
1071,4
1072,2
1073,4
1074,4
1075,1
1076,4
1077,4
1078,3
1079,4
1080,3
1081,0
1082,4
1083,1
1084,3
1085,3
1086,1
1087,1
1088,1
1089,0
1090,1
1091,1
1092,3
1093,0
1094,4
1095,1
1096,1
1097,4
1098,0
1099,3
1100,4
1101,0
1102,4
1103,1
1104,0
1105,3
1106,1
1107,2
1108,2
1109,3
1110,4
1111,2
1112,0
1113,2
1114,0
1115,2
1116,3
1117,0
1118,3
1119,4
1120,1
1121,2
1122,1
1123,1
1124,3
1125,3
1126,3
1127,4
1128,3
1129,2
1130,1
1131,2
1132,3
1133,3
1134,4
1135,1
1136,4
1137,1
1138,0
1139,1
1140,1
1141,3
1142,4
1143,1
1144,2
1145,0
1146,4
1147,3
1148,0
1149,0
1150,3
1151,3
1152,1
1153,3
1154,3
1155,0
1156,3
1157,1
1158,2
1159,0
1160,2
1161,4
1162,4
1163,1
1164,2
1165,4
1166,3
1167,3
1168,3
1169,3
1170,4
1171,2
1172,3
1173,4
1174,0
1175,3
1176,2
1177,0
1178,2
1179,4
1180,1
1181,2
1182,0
1183,2
1184,4
1185,3
1186,2
1187,1
1188,2
1189,0
1190,4
1191,4
1192,3
1193,4
1194,1
1195,3
1196,0
1197,2
1198,3
1199,3
1200,2
1201,3
1202,4
1203,1
1204,1
1205,3
1206,1
1207,0
1208,0
1209,2
1210,3
1211,4
1212,3
1213,0
1214,2
1215,1
1216,3
1217,1
1218,3
1219,0
1220,1
1221,2
1222,2
1223,1
1224,0
1225,4
1226,3
1227,3
1228,3
1229,4
1230,0
1231,3
1232,3
1233,0
1234,3
1235,1
1236,2
1237,0
1238,4
1239,2
1240,3
1241,4
1242,2
1243,0
1244,1
1245,1
1246,0
1247,2
1248,0
1249,1
1250,1
1251,2
1252,4
1253,3
1254,3
1255,0
1256,0
1257,2
1258,3
1259,1
1260,0
1261,3
1262,0
1263,4
1264,1
1265,1
1266,0
1267,2
1268,0
1269,2
1270,1
1271,3
1272,0
1273,2
1274,3
